ANTIVIRAL PROTEIN/IMMUNE SYSTEM	6	6VJT-P-H, 6VJT-P-L, 7YI6-A-B, 7YI6-A-D, 7YI6-C-E, 7YI6-C-F
APOPTOSIS	591	1D0A-G-A, 1D0A-H-B, 1D0A-I-C, 1D0A-J-D, 1D0A-K-E, 1D0A-L-F, 1PQ1-B-A, 1ZY3-B-A, 1G3F-B-A, 1O9K-P-A, 1O9K-Q-A, 1O9K-P-B, 1O9K-Q-B, 1O9K-P-C, 1O9K-Q-C, 1O9K-P-D, 1O9K-Q-D, 1O9K-R-E, 1O9K-R-F, 1O9K-S-G, 1O9K-S-H, 1CZZ-D-A, 1CZZ-E-B, 1CZY-D-A, 1CZY-E-C, 1D0J-G-A, 1D0J-H-C, 1D0J-I-D, 1D0J-J-E, 1D0J-K-F, 1SDZ-B-A, 1D00-I-A, 1D00-J-B, 1D00-N-B, 1D00-K-C, 1D00-L-D, 1D00-P-D, 1D00-M-E, 1D00-J-F, 1D00-N-F, 1D00-O-G, 1D00-L-H, 1D00-P-H, 1SE0-B-A, 1G5J-B-A, 1TY4-C-A, 1TY4-C-B, 1TY4-D-B, 1XB1-G-A, 1XB1-H-A, 1XB1-H-B, 1XB1-I-B, 1XB1-I-C, 1XB1-J-C, 1XB1-J-D, 1XB1-K-D, 1XB1-K-E, 1XB1-L-E, 1XB1-G-F, 1XB1-L-F, 1FLL-X-A, 1FLL-Y-B, 1D01-G-C, 1D01-G-D, 1D01-H-E, 1D01-I-F, 1XB0-G-A, 1XB0-H-A, 1XB0-H-B, 1XB0-I-B, 1XB0-I-C, 1XB0-J-C, 1XB0-J-D, 1XB0-K-D, 1XB0-K-E, 1XB0-L-E, 1XB0-G-F, 1XB0-L-F, 2V6Q-B-A, 2YQ7-B-A, 2VOH-B-A, 2ROC-B-A, 2K7W-B-A, 2PQK-B-A, 2KZU-B-A, 2WH6-B-A, 2PQR-C-A, 2PQR-D-A, 2PQR-C-B, 2PQR-D-B, 2JK9-B-A, 2JBY-B-A, 2M5B-B-A, 2ROD-B-A, 2R02-B-A, 2YQ6-B-A, 2VOF-B-A, 2VOF-D-A, 2VOF-B-C, 2VOF-D-C, 2NLA-B-A, 2KBW-B-A, 2JM6-A-B, 2GKW-B-A, 2VOI-B-A, 2YJ1-B-A, 2YJ1-D-C, 2NL9-B-A, 2R05-B-A, 2PQN-B-A, 2VOG-B-A, 2ZNE-C-A, 2ZNE-C-B, 2ZNE-D-B, 2XPX-B-A, 2G5B-I-A, 2G5B-I-B, 2G5B-J-B, 2G5B-J-C, 2G5B-I-D, 2G5B-J-D, 2G5B-K-E, 2G5B-K-F, 2G5B-L-F, 2G5B-L-G, 2G5B-K-H, 2G5B-L-H, 2P1L-B-A, 2P1L-D-C, 2P1L-F-E, 2P1L-H-G, 2R03-B-A, 2XA0-C-A, 2XA0-D-A, 2XA0-C-B, 2XA0-D-B, 3D9T-C-A, 3D9T-D-A, 3D9T-D-B, 3EMW-B-A, 3GJT-E-A, 3GJT-E-B, 3GJT-F-C, 3GJT-F-D, 3D7V-B-A, 3D9U-B-A, 3GJQ-E-A, 3GJQ-E-B, 3GJQ-F-C, 3GJQ-F-D, 3GJS-E-A, 3GJS-E-B, 3GJS-F-C, 3GJS-F-D, 3KJ2-B-A, 3KJ0-B-A, 3R85-E-A, 3R85-F-B, 3R85-G-C, 3R85-H-D, 3QBR-B-A, 3QBR-Y-X, 3KJ1-B-A, 3FDM-D-A, 3FDM-E-B, 3FDM-D-C, 3FDM-F-C, 3H11-C-B, 3MQP-B-A, 3FDL-B-A, 3IO9-B-A, 3IO8-B-A, 3IO8-D-C, 3I1H-B-A, 3KZ0-C-A, 3KZ0-D-B, 4J48-B-A, 4ZIH-B-A, 4CIN-C-A, 4CIN-D-B, 4BPJ-D-A, 4ZIF-B-A, 4BD2-C-A, 4ZIG-B-A, 4D2M-B-A, 4D2M-D-C, 4B4S-B-A, 4ZII-C-A, 4ZIE-C-A, 4QVE-B-A, 4BPI-B-A, 4M9S-E-A, 4M9S-F-B, 4M9S-G-C, 4M9S-H-D, 4CIM-P-A, 4CIM-Q-A, 4CIM-P-B, 4CIM-Q-B, 4M9Y-C-A, 4M9Y-D-B, 4WVS-B-A, 4BD6-C-A, 4D2L-B-A, 4M9X-C-A, 4M9X-D-B, 4BPK-C-A, 4BPK-D-B, 4ZEQ-B-A, 4J45-B-A, 4A1U-B-A, 4J46-B-A, 4J47-B-A, 4Z9V-C-A, 4Z9V-E-A, 4Z9V-F-A, 4Z9V-G-A, 4Z9V-H-A, 4Z9V-D-B, 4Z9V-E-B, 4Z9V-F-B, 4Z9V-G-B, 4Z9V-H-B, 4QVF-B-A, 4YJ4-B-A, 4J44-B-A, 4M9Z-E-A, 4M9Z-F-B, 4M9Z-G-C, 4M9Z-H-D, 4WVT-C-A, 4WVT-D-A, 4WVT-D-B, 4YK9-B-A, 4YK9-B-F, 4YK9-G-F, 4HW4-C-A, 4HW4-D-B, 5FIY-F-A, 5FIY-F-E, 5FIY-G-E, 5TWA-D-A, 5TWA-C-B, 5VAX-E-A, 5VAX-F-B, 5VAX-G-C, 5VAX-H-D, 5UUP-B-A, 5B1Z-C-A, 5B1Z-D-B, 5TZQ-D-A, 5TZQ-C-B, 5UUM-C-A, 5UUM-D-B, 5VWW-C-A, 5VWW-C-B, 5VWW-D-B, 5VX0-B-A, 5VX0-D-C, 5UA4-B-A, 5AJK-B-A, 5AJK-F-A, 5AJK-H-A, 5AJK-D-C, 5AJK-J-C, 5AJK-F-E, 5AJK-B-G, 5AJK-H-G, 5AJK-D-I, 5AJK-J-I, 5AJK-L-K, 5AGX-C-A, 5AGX-D-A, 5AGX-C-B, 5AGX-D-B, 5D7G-B-A, 5D7G-D-A, 5D7G-B-C, 5D7G-D-C, 5D7G-H-C, 5D7G-F-E, 5D7G-H-E, 5D7G-F-G, 5D7G-H-G, 5FCG-C-A, 5C3G-B-A, 5C3F-B-A, 5VX2-B-A, 5VX2-D-A, 5VX2-B-C, 5VX2-D-C, 5EYZ-E-A, 5EYZ-F-A, 5EYZ-F-B, 5EYZ-G-B, 5EYZ-F-C, 5EYZ-G-C, 5EYZ-H-C, 5EYZ-H-D, 5VX3-B-A, 5VX3-D-A, 5VX3-B-C, 5VX3-D-C, 5VX3-F-E, 5VX3-H-G, 5VWV-B-A, 5UUK-B-A, 5VAY-E-A, 5VAY-G-A, 5VAY-F-B, 5VAY-E-C, 5VAY-G-C, 5VAY-G-D, 5VAY-H-D, 5WHH-B-A, 5UUL-B-A, 5FMK-B-A, 5FMJ-B-A, 5AGW-C-A, 5AGW-D-A, 5AGW-C-B, 5AGW-D-B, 5VWZ-B-A, 5VWZ-D-A, 5VWZ-B-C, 5VWZ-D-C, 5TZP-B-A, 5UA5-B-A, 5VWY-B-A, 5EZ0-E-A, 5EZ0-G-A, 5EZ0-F-B, 5EZ0-E-C, 5EZ0-F-C, 5EZ0-G-C, 5EZ0-E-D, 5EZ0-H-D, 5VWX-B-A, 5VWX-D-A, 5VWX-B-C, 5VWX-D-C, 5VAU-E-A, 5VAU-G-A, 5VAU-F-B, 5VAU-E-C, 5VAU-G-C, 5VAU-G-D, 5VAU-H-D, 6IJQ-A-B, 6PPM-E-A, 6PPM-E-B, 6PPM-I-G, 6PPM-I-H, 6PPM-L-J, 6PPM-L-K, 6DCN-D-A, 6DCN-C-B, 6WH0-B-A, 6XY4-B-A, 6PDQ-G-A, 6PDQ-G-B, 6PDQ-F-D, 6PDQ-F-E, 6MBD-C-A, 6MBD-D-A, 6MBD-C-B, 6MBD-D-B, 6TRR-B-A, 6QG8-B-A, 6V4H-B-A, 6V4H-D-A, 6V4H-B-C, 6V4H-D-C, 6WGZ-C-B, 6QFI-B-A, 6MBE-B-A, 6FBX-B-A, 6YLD-B-A, 6YLD-B-C, 6YLD-D-C, 6BDV-C-A, 6BDV-C-B, 6QFM-B-A, 6V4G-B-A, 6V4E-C-A, 6V4E-D-A, 6V4E-C-B, 6V4E-D-B, 6E3J-B-A, 6MBC-B-A, 6VBX-B-A, 6MBB-B-A, 6DCO-C-A, 6DCO-D-B, 6BGK-F-A, 6BGK-F-C, 6BGK-H-B, 6BGK-H-D, 6YLI-B-A, 6YLI-D-A, 6YLI-B-C, 6YLI-D-C, 6E3I-B-A, 6TQQ-B-A, 6TQP-B-A, 6V4F-B-A, 6XY6-B-A, 6XY6-F-A, 6XY6-D-C, 6XY6-B-E, 6XY6-F-E, 6XY6-H-G, 6XY6-J-I, 6XY6-L-K, 6XY6-N-M, 6XY6-P-O, 7Y8D-B-A, 7ADT-U-A, 7ADT-C-B, 7YAA-B-A, 7M5B-B-A, 7M5B-D-A, 7M5B-B-C, 7M5B-D-C, 7P0S-U-A, 7P0S-C-B, 7M5C-B-A, 7M5C-F-A, 7M5C-D-C, 7M5C-J-C, 7M5C-F-E, 7M5C-H-G, 7M5C-J-I, 7M5C-B-K, 7M5C-L-K, 7M5C-B-M, 7M5C-N-M, 7M5C-P-O, 7M5C-R-Q, 7M5C-T-S, 7Y90-B-A, 7CJB-D-A, 7CJB-H-E, 7CJB-L-I, 7CJB-P-M, 7YA5-B-A, 7P9W-B-A, 7QTX-B-A, 7WJH-B-A, 7M5A-B-A, 7TRL-B-A, 7QTW-B-A, 7Y99-B-A, 7P33-G-A, 7P33-J-A, 7P33-H-B, 7P33-F-B, 7P33-H-C, 7P33-I-D, 7P33-G-E, 7P33-J-E, 7DEE-B-A, 7YB7-C-A, 7YB7-D-A, 7YB7-D-B, 7SEO-F-A, 7SEO-F-B, 7SEO-G-C, 7SEO-G-D, 7P0U-U-A, 7P0U-C-A, 7P0U-E-A, 7P0U-U-B, 7P0U-C-B, 7P0U-U-D, 7P0U-E-D, 7P0U-G-F, 8Y1Z-B-A, 8IQL-D-C, 8IQL-B-A, 8WLS-B-A, 8CZF-B-A, 8IQK-B-A, 8IQK-F-A, 8IQK-D-C, 8IQK-B-E, 8IQK-F-E, 8IQK-H-G, 8IGC-B-A, 8ZCS-C-A, 8ZCS-C-B, 8ZEB-C-A, 8ZEB-D-B, 8CZG-E-A, 8CZG-H-A, 8CZG-F-B, 8CZG-G-B, 8CZG-E-C, 8CZG-F-C, 8CZG-G-C, 8CZG-H-C, 8CZG-E-D, 8CZG-H-D, 8CZH-B-A, 8GSV-B-A, 8GSV-L-A, 8GSV-D-C, 8GSV-F-C, 8GSV-D-E, 8GSV-F-E, 8GSV-H-G, 8GSV-J-G, 8GSV-H-I, 8GSV-J-I, 8GSV-B-K, 8GSV-L-K, 8GSV-B-M, 8GSV-X-M, 8GSV-D-O, 8GSV-F-O, 8GSV-P-O, 8GSV-R-O, 8GSV-F-Q, 8GSV-P-Q, 8GSV-R-Q, 8GSV-H-S, 8GSV-T-S, 8GSV-V-S, 8GSV-H-U, 8GSV-J-U, 8GSV-T-U, 8GSV-V-U, 8GSV-L-W, 8GSV-N-W, 8GSV-X-W, 8EBK-B-A, 8GJS-B-A, 8IQM-B-A, 8Y1Y-B-A, 8VJP-B-A, 9CPN-E-A, 9CPN-H-A, 9CPN-E-B, 9CPN-F-B, 9CPN-G-C, 9CPN-E-D, 9CPN-H-D, 9CDT-B-A, 9CKN-E-A, 9CKN-D-B, 9CKN-E-B, 9LGU-B-A, 9LGU-D-A, 9LGU-H-A, 9LGU-M-A, 9LGU-B-C, 9LGU-D-C, 9LGU-F-C, 9LGU-L-C, 9LGU-B-E, 9LGU-D-E, 9LGU-F-E, 9LGU-L-E, 9LGU-B-G, 9LGU-D-G, 9LGU-H-G, 9LGU-M-G, 9LGU-F-I, 9LGU-L-I, 9LGU-H-K, 9LGU-M-K, 9IXU-E-A, 9IXU-F-A, 9IXU-E-B, 9IXU-G-B, 9IXU-H-B, 9IXU-G-C, 9IXU-H-C, 9IXU-E-D, 9IXU-F-D, 9IXU-G-D, 9UGP-B-A, 9LI8-B-A, 9CPF-E-A, 9CPF-G-A, 9CPF-E-B, 9CPF-F-B, 9CPF-G-C, 9CPF-E-D, 9CPF-H-D, 9CPH-B-A
APOPTOSIS INHIBITOR	29	1Q4Q-O-A, 1Q4Q-P-A, 1Q4Q-R-A, 1Q4Q-O-B, 1Q4Q-R-B, 1Q4Q-T-B, 1Q4Q-P-C, 1Q4Q-Q-C, 1Q4Q-P-D, 1Q4Q-Q-D, 1Q4Q-R-D, 1Q4Q-O-E, 1Q4Q-S-E, 1Q4Q-T-E, 1Q4Q-K-F, 1Q4Q-L-F, 1Q4Q-N-F, 1Q4Q-K-G, 1Q4Q-N-G, 1Q4Q-S-G, 1Q4Q-L-H, 1Q4Q-M-H, 1Q4Q-K-I, 1Q4Q-L-I, 1Q4Q-M-I, 1Q4Q-N-J, 1Q4Q-S-J, 1Q4Q-T-J, 2PON-A-B
APOPTOSIS INHIBITOR/APOPTOSIS	1	2K6Q-B-A
APOPTOSIS, HYDROLASE/HYDROLASE INHIBITOR	8	1F1J-C-A, 1F1J-D-B, 4JR0-C-A, 4JR0-D-B, 4JR1-C-A, 4JR1-D-B, 4JR2-C-A, 4JR2-D-B
APOPTOSIS/APOPTOSIS ACTIVATOR	1	2LP8-B-A
APOPTOSIS/APOPTOSIS INHIBITOR	12	3UIH-P-A, 3UIH-Q-B, 3UII-P-A, 3UII-Q-B, 3UIJ-P-A, 3UIJ-Q-B, 3UIG-P-A, 3UIG-Q-B, 3UIK-P-A, 3UIK-Q-B, 8DGZ-C-A, 8DGZ-D-B
APOPTOSIS/APOPTOSIS REGULATOR	39	3PL7-C-A, 3PL7-C-B, 3PK1-B-A, 3PK1-D-C, 3MK8-B-A, 5C6H-B-A, 5C6H-F-A, 5C6H-J-A, 5C6H-D-C, 5C6H-H-C, 5C6H-R-C, 5C6H-X-C, 5C6H-D-E, 5C6H-F-E, 5C6H-J-E, 5C6H-L-E, 5C6H-H-G, 5C6H-X-G, 5C6H-D-I, 5C6H-H-I, 5C6H-J-I, 5C6H-D-K, 5C6H-L-K, 5C6H-N-K, 5C6H-R-K, 5C6H-N-M, 5C6H-R-M, 5C6H-V-M, 5C6H-P-O, 5C6H-T-O, 5C6H-P-Q, 5C6H-R-Q, 5C6H-V-Q, 5C6H-T-S, 5C6H-P-U, 5C6H-T-U, 5C6H-V-U, 5C6H-P-W, 5C6H-X-W
APOPTOSIS/HYDROLASE	8	1KMC-C-A, 1KMC-D-B, 1I4O-C-A, 1I4O-D-B, 3F2O-C-A, 3F2O-D-A, 3F2O-C-B, 3F2O-D-B
APOPTOSIS/INHIBITOR	8	4A1W-P-A, 4A1W-Q-A, 4A1W-P-B, 4A1W-Q-B, 4A1W-R-C, 4A1W-S-C, 4A1W-R-D, 4A1W-S-D
